site,review,month,day,year,rate,sentiment,,,
agoda,The lady receptionist told my wife that the room we booked was unavailable and offered other rooms but we had to pay additional fee. When I approached my wife and the receptionist and was told about this  I complained why the room that had already been booked could be unavailable. When the receptionist saw that I was not going to allow this to happen  she told us that she would try to talk to manager at the back. After a minute  she came back and said that they would just upgrade our room for free. But this incident left a bad taste in the mouth.,Sep,23,2017,68,neg,,,
agoda,Very freindly staff and a lot varient food especial in bfast buffet and so neat the hotel but not so around in facilities because got typhoon,Sep,13,2017,88,pos,,,
agoda,We selected this hotel solely on it's view and location. The staff was friendly enough. But the room was outdated and the shower/tub was terrible  very difficult to stand up. I would only stay here again based on the view alone.,Sep,08,2017,56,neg,,,
agoda,We enjoy our stay... place is beautiful  food is good and good location.,Sep,06,2017,72,pos,,,
agoda,Lovely hotel with a well trained staff to serve you and meet every need. Room was clean and bed was comfortable. We were disappointed that the equipment in the Fitness Center needed repairs (weight resistant machine  treadmill). We enjoy beginning the day with exercise but the Fitness Center is in need of attention. I could not get the A/C to work so it was hot and humid. Breakfast buffet was excellent. The lady chef cooks a really great omelette.,Sep,05,2017,84,neg,,,
agoda,Great helpful staff  even greater location. I prefer staying in the new wing as the old wing needs some renovation. Good buffet.,Aug,31,2017,92,pos,,,
agoda,we took the presidential suite but the hotel failed our expectation. checking inn was horrible and they did not even brought us to our room but instead the cleaner guided us. the bathroom needs refurbishing. the breakfast should be served since it is the presidential suite.. you still need to pay 150 pesos for the valet and queque just to pay it. the breakfast serving is horrible.  agoda charge us 497 dollars but the hotel charge us 30 thousand pesos and thats 100 dollars discrepancy. its just that we took the presidential suite and we also expect VIP treatment. the hotel is in prime location but the service is disgusting and so poor..,Aug,29,2017,48,neg,,,
agoda,The view of Taal Lake was amazing from the balcony of our room and definitely worth it!,Aug,28,2017,100,pos,,,
agoda,We did not have good dining experience  breakfast was ok  evening meal buffet is not good value and Al-a Carte was dismal  we went to Mcdonald`s across the road for our 2nd evening.,Aug,25,2017,84,neg,,,
agoda,Great view of Taal lake from the room. Great food. The couch from our room has stains already and personally it's due for a new one as it is afterall a luxury hotel. But overall stay was great. We've always love Taal Vista,Aug,24,2017,84,pos,,,
agoda,nice view. yummy food  good and kind service,Aug,23,2017,72,pos,,,
agoda,Disappointing of staff serving for some assist,Aug,23,2017,60,neg,,,
agoda,"I think that it is TOP Class in the Philippine level. Shower A lot of hot water, comfortable. We also had many kinds of breakfast buffet. The scenery of Lake Tar seen from the hotel is also superb.",Aug,18,2017,100,pos,,,
agoda,Been a Taal Vista regular for years now. However  last visit was disappointing. Made arrangements for a simple birthday surprise as I did before  but it seems like they no longer care  unlike previous years. Add to that  upon checking in our room - not the usual impressed and wow feeling...no bed runner  no throw pillows  Welcome note and goodies (usually fruits or pastries) the bathroom still had splatters on the glass  grout on the bathroom floors are visibly dirty  and into night - the aircon had a leak. Still gave it a shot for dinner  went to try the dinner buffet  but the selection was quite limited. I love Taal Vista - proposed to my wife there  also stayed there for our wedding  but maintenance and upkeep of the place has to step up. It's in the details  I guess. A great hotel experience goes down to the smallest of details. Time to explore the new options in Tagaytay. To the Management  please save Taal Vista  too many memories :(,Aug,07,2017,60,neg,,,
agoda,Buffet breakfast selection was great  so many choices. Great staff from front desk to room attendants. Will definitely book again here!,Aug,07,2017,84,pos,,,
agoda,We stayed at the old bldg. Yes  it's old.,Aug,07,2017,72,neg,,,
agoda,It had a nice getaway at Taal Vista with a spacious and comfortable room. The view was awesome! I booked the Premiere Lake View room. It was really nice that I can stay in my room the whole day.,Aug,01,2017,88,pos,,,
agoda,The hotel had a good location. Very near attractions and restaurants and also some parts were just newly renovated. I hope they could also renovate the rooms bec it's starting to look and feel old. The sliding door to the washroom doesn't work properly. The rooms at the mountain side needs renovation.,Jul,31,2017,80,neg,,,
agoda,Food looks good but taste is mediocre.,Jul,29,2017,88,pos,,,
agoda,good hotel  but still have room for improvement.,Jul,27,2017,80,pos,,,
agoda,excellent view of the lake. good buffet selection during breakfast.,Jul,24,2017,88,pos,,,
agoda,We stayed on the lake wing  premier king. The room is clean  thee bed is comfortable  the best part of staying here is the view from our room is superb. Their is a garden right below the veranda of the room  that when you open the door what you can here is the peaceful sound of the birds. We stayed here before on a weekend  and our recent stay was on a midweek. You can enjoy more the place during midweek because they have less guest  I mean  you can enjoy more roaming around and use their pool more  check in or out more faster. But  if you'll be staying here on a weekend  their breakfast has wider selection than what they do offer during midweek. Parking is free  another thumbs up. The only downside I got same as my previous stay was their bathroom has no bidet. They even just have the shower head on the top of the bath tub   they don't have the movable shower. I rated 3* 4* their cleanliness and facilities because the sofa inside our room has stains and a little ruin  probably because of its beige color  I even had a doubt at first if will seat or not. lol Overall  our stay was pleasant.,Jul,21,2017,84,pos,,,
agoda,Although we had issues during check in and there was no view from our room  our stay became memorable. It was a great venue for celebrating a wedding and at the same time family reunion. I appreciated the room attendant who cleaned our room  the guard who watched over us in the pool. and people serving at the buffet breakfast.,Jul,19,2017,52,pos,,,
agoda,generally the hotel renovation is old but with good facilities and nice view,Jul,18,2017,88,pos,,,
agoda,Truly relaxing place near the city.,Jul,17,2017,80,pos,,,
agoda,It's the lake view that stood out the most and breakfast is awesome even though price is still higher than the usual hotel staycation promo rates in Manila.,Jul,16,2017,76,pos,,,
agoda,A place to stay if you're a family with little ones. Best location. Kindda outdated but it does not matter as the location is superb. Great view of Taal volcano.,Jul,14,2017,80,pos,,,
agoda,Really the place  nature and nice facilities and can not forget the kindness of their staff ,Jul,12,2017,24,pos,,,
agoda,Great place to relax and recuperate from busy lifestyle,Jul,11,2017,100,pos,,,
agoda,Has faulty A/C The bed is hard - not comfortable for sleeping Stains on the floor,Jul,10,2017,40,neg,,,
agoda,Everything was great except for aircon room not cold enough..and i notice the tv room got lines already need replacement?although not too significant coz u wont stay in the room for too long to watch tv!,Jul,09,2017,92,neg,,,
agoda,Booked this for my folks as their wedding anniversary gift and they enjoyed it.,Jul,07,2017,88,pos,,,
agoda,The location gives you the best view of taal but we're just caught off guard that we had to pay more if we want the lake view room. We just thought they are a bit pricey  when we can just eat in their restaurant and enjoy the view for a couple of hours.,Jul,05,2017,84,pos,,,
agoda,Celebrated Father's Day with our children. The staff are kind enough to let us check in earlier  we also got a complimentary merienda during our stay,Jul,04,2017,92,pos,,,
agoda,We do enjoyed our stay ..,Jul,03,2017,72,pos,,,
agoda,the service was no good  lost the baggage the first day  no water in the room  needed to wait a lot for breakfast  so price/quality no good,Jul,01,2017,48,neg,,,
agoda,a very nice hotel with amazing views. hotel staffs were very friendly. location was right beside sky ranch. a very awesome hotel and will return again.,Jul,01,2017,100,pos,,,
agoda,Still needed some little make-overs  but the name TAAL VISTA HOTEL remains. Worth our trip!,Jun,30,2017,100,pos,,,
agoda,Please maintain the beautiful exterior of it. I know it's hard to maintain it in the Philippines with the humid and dusty weather. But please put a lot of effort into it. Love the hotel  the food  the staff! Will definitely come back!,Jun,30,2017,96,pos,,,
agoda,Duty Manager (Akin) was very helpful. I hope I spelled your name right. Food at Veranda restaurant (a la carte) is excellent! Magnificent view. Joy from the Spa was great!,Jun,29,2017,60,pos,,,
agoda,We got the Superior King accommodation (Room 420) for half the price of it. Clean room and love the classic interior. CR lock is the only off thing during our stay.,Jun,29,2017,88,pos,,,
agoda,the hotel location is perfect. i love the breakfast. facilities are good but not perfect.,Jun,28,2017,84,pos,,,
agoda,Nice view  nice room in lake wing  nice spa  free big parking for hotel guest. Everything is good except the very small swimming pool and overloaded all day dining restaurant.,Jun,28,2017,92,pos,,,
agoda,Enjoy the stay,Jun,28,2017,92,pos,,,
agoda,Stayed at their mountain wing. Room size was okay with 2 twin beds and a day bed. Disappointed though with their bathroom. Toilet seat cover is broken or not attached properly. Bathroom fixtures are old and needs replacement - faucet can't be closed properly - water was dripping. No hot water available in our shower on the first night. I hope they renovate the mountain wing soon. The Lake wing looks really nice.,Jun,27,2017,80,neg,,,
agoda,Taal vista Hotel is a top choice in tagaytay and will likely remain so for years to come because it balances location  view  spacious design and history with an acceptable price. Though it has to deal with getting older and of need of possible renovations  my family and I like very much the overall feel of what we get and what we expect from a 4-5 star provincial hotel. We will definitely come back and look forward to a longer stay here.,Jun,27,2017,72,pos,,,
agoda,Everyone I deal with were very accomadating and the young lady at the register upgrade my room from mountain view to a lake View! with no xtra charge which was more than expected!! if I ever decided to come back to Manila I would go back there and stay for a week instead of 3 nights!!,Jun,26,2017,100,pos,,,
agoda,been there so many times. I like the location. A quiet and peaceful surroundings  although the rooms in the mounain wing side are a bit old  still fit to stay with.,Jun,26,2017,80,pos,,,
agoda,The room was old and very far by walk from the reception area.,Jun,22,2017,64,neg,,,
agoda,Nice view and staff are friendly,Jun,18,2017,80,pos,,,
agoda,Despite the long line during check in and out. I was surprise that it only took us around 10mins  also baggage was delivered instantly as soon as we got in to our room. The room was big enough for 2 adults and 3 kids but not meticulously cleaned (flies in the room). It was walking distance to sky ranch which was really favorable for us since we are traveling with r kids 11  3 and 2 yo. We tried going to the game room but unfortunately all the board games and chess board which was indicated in the list was unavailable.We also checked out the play are for small kids but TV wasnt working so you couldnt play with the Xbox. All in all our stay here was average. With the amount we paid I'm sure will be getting better deals somewhere else.,Jun,16,2017,80,pos,,,
agoda,We had a wonderful overnight stay at the Hotel. Great view and very helpful staff members. Though we had an issue on the door lock of one of our rooms  the staff and mamager was able to fix it ASAP. Check-in and check-out was a a breeze. Ample parking space as well.,Jun,13,2017,96,pos,,,
agoda,The facilities are good particularly the buffet meals. The staff was not particular to the request of the guests. We were inquiring for the dinner and was advised that they will call us regarding the inquiry but we didnt receive any call.. Apparently the staff forgot about it.,Jun,05,2017,92,pos,,,
agoda,Restaurant and hotel like a tomb with nobody to be seen  could not believe i could not buy/upgrade to a view even for $$ with only 60% capacity. Cold shower  faulty TV  no internet  view of concrete. Paid the kings ransom to eat in restaurant buffet  which is fantastic  but that's the only positive. Stayed there many times before  but won't be back again after this last effort.,Jun,04,2017,60,neg,,,
agoda,Just a bit chaos on breakfast coz @ around 9am we were still on a waiting list  anyway patience is a virtue!,Jun,04,2017,76,neg,,,
agoda,Rooms and bathroom dirty. Floor sticky. Air con not working properly.,May,31,2017,60,neg,,,
agoda,It's a great family hotel. Breakfast was good! The lounge was good! Excellent views! Room is old fashioned but very clean and tidy. It worked well for me. Will come for sure!,May,25,2017,96,pos,,,
agoda,I may say  this is a nice hotel not fancy though. With a class  that's it.,May,24,2017,80,pos,,,
agoda,We had the lake wing with balcony and was perfect. Room was large with coffee maker  ice box   iron/ board and all the necessary ammenities.,May,23,2017,84,pos,,,
agoda,The juices were made of syrup rather than fresh. This being Tagaytay  the Pineapple Juice should be at least fresh. Still  a good experience.,May,22,2017,80,pos,,,
agoda,Kindly give first to participants of the conferences the rooms near function rooms. We were given a room (rm148) just beside the hall where they dine and smoke. We cant stay on the balcony coz of the noise and smoke.,May,19,2017,84,neg,,,
agoda,would be nice if there was a bigger swimming pool  view is breath-taking  sprawling grass and breakfast buffet are awesome! thank you!,May,19,2017,80,pos,,,
agoda,Stayed in mountain wing  room is showing its age. Need more maintenance. Balcony light not working  safe box not working  bed is sinking  hot water pressure is poor. The good are the staff and decent breakfast. But for the price paid not so value for money.,May,18,2017,56,neg,,,
agoda,The buffet breakfast had only few choices of food  we were surprised with so many peiple eating and high class hotel you can count how many food they serve on breakfast not so much choices not worth the money,May,16,2017,76,neg,,,
agoda,Value for Money! We had a great time! Thank you!,May,10,2017,80,pos,,,
agoda,Happy with the service when checking in and out.very orderly. Even if i booked it via online.i didnt even presented a printed confirmation or i didnt even showed my phone fr the confirmation. Just a valid id. the breakfast is so good. I hope to come back soon.,May,09,2017,100,pos,,,
agoda,Beautiful location  very good breakfast. Helpful staff,May,09,2017,84,pos,,,
agoda,I booked here and make a note that me and my wife will celebrate our 2nd anniversary with my 10months old baby. And what a surprise we have a welcome cake in our room with a beautiful view. But the beds are two single. I asked the bell boy if we can transfer to a room with king size bed 'coz we are family and we can't sleep in separate beds. And after a few minutes the bell boy assisted us to transfer to a new room.and it was great because the room is huge for the 3 of us. All the staffs are kind and joyful as they are always greeting and smiling wherever we saw them. The food is great as its buffet breakfast. I love the coffee(kapeng barako)which is very famous in Town.,May,06,2017,92,pos,,,
agoda,The staff are the best! Accommodating to my every request :),May,05,2017,100,pos,,,
agoda,Location is perfectly infront of the volcano abd center of Tagaytay,May,03,2017,100,pos,,,
agoda,location is best  food was okay hotel is okay need to update,Apr,27,2017,76,pos,,,
agoda,I thank Kevina from the reception staff,Apr,25,2017,84,pos,,,
agoda,Taal Vista Hotel has always been our go to hotel when we stay in Tagaytay to enjoy the breezy weather. Will visit again soon.,Apr,24,2017,60,pos,,,
agoda,Cool place to beat the hot weather.,Apr,21,2017,56,pos,,,
agoda,big rooms  friendly staff  great breakfast,Apr,20,2017,96,pos,,,
agoda,I was offered a room upgrade for an additional 500 pesos. They said it has a view of the lake but I was placed in a room facing the road. I didn't complain because I just had to walk over to the other side to see the view. Besides it was a bigger room. What I didn't realize was how the vehicles speeding the highway in the wee hours  would disrupt my sleep. There weren't too many (maybe 3x)  but enough to wake me up. Loved the buffet breakfast though.,Apr,19,2017,88,pos,,,
agoda,too expensive for the experience,Apr,17,2017,92,neg,,,
agoda,good,Apr,16,2017,92,pos,,,
agoda,The best hotel !,Apr,15,2017,100,pos,,,
agoda,This is a vacation place for the local. There's a theme park and a small mall right next to the hotel. Stayed there for a seminar so had all my meals in the hotel. Food is good. Nice view from the room. Hotel property is big and not tall so need to walk a bit to the rooms. You will need a car or have to take a cab wherever you go. No public transport available at the hotel.,Apr,14,2017,80,neg,,,
agoda,not worth the money. so expensive for a very outdated rooms and facilities. Many other new and more beautiful nearby.,Apr,13,2017,60,neg,,,
agoda,The location could not have been better in Tagaytay- a short drive from many attractions  and the view was spectacular. The Lake Wing especially has incredible views. The Mountain Wing is pretty run down and poorly maintained  which was quite disappointing.,Apr,07,2017,60,neg,,,
agoda,staff was nice. great view.,Apr,04,2017,76,pos,,,
agoda,Stayed here twice already! Good accommodations and prime location :) will recommend!,Apr,03,2017,100,pos,,,
agoda,Pro: The quality of breakfast is awesome  got a lot of food variety and the taste is great. Con: Rooms need renovation. The bed-sheets and carpet looked dirty.,Apr,03,2017,72,pos,,,
agoda,Good use of signage. But more on upgrading furnishings.,Apr,02,2017,80,pos,,,
agoda,Great hotel. As always. Breakfast buffet is still great but I loved the choices before Caf Veranda was renovated better.,Mar,28,2017,96,pos,,,
agoda,hotel is a bit old but staff are all corteous. needs renovation,Mar,27,2017,92,neg,,,
agoda,New hotels have lower prices,Mar,25,2017,68,pos,,,
agoda,The place is perfect if you choose the Lake View. Easy to find because it's located along the major road in Tagaytay. The hotel is good  but may need a little renovation. The staff is really helpful and polite.,Mar,21,2017,88,pos,,,
agoda,Pros- cool weather  place near every must-go places in Tagaytay   taal lake view  friendly staff  clean place  view at the mountain wing Cons- room's a bit old and not sound proof-you'll hear the noise from the hallway   pool not heated-my kid loves swimming but unable to swim because of the cool weather  Veranda always full during breakfast but good thing they have other rooms available like the lounge and at the Taza resto,Mar,17,2017,80,neg,,,
agoda,Taal Vista Hotel is my go-to hotel whenever I'm in Tagaytay. I have never been disappointed with the amenities or the staff.,Mar,16,2017,100,pos,,,
agoda,Shower head not quite ok. Rusty and worn out. Facilities quite not ok. Bfast buffet were less compared in previous years.,Mar,15,2017,68,neg,,,
agoda,Hotel come with perfect view. Nice to stay for holidays.,Mar,14,2017,88,pos,,,
agoda,The room they gave us upon check in was not what I expected. I reserved and paid for a room that's premium with a full mountain view. They gave us a room in the basement of their old wing. It was very gloomy  not a full mountain view at all  quite far from their facilities & not accesible to any lift. After speaking to their manager on duty  she was very professional  accomodating and transfered us a much better room. We appreciated the gesture. In my opinion  they need to review their coffee shop & room service menu. It's boring and can be improved to match their 4 star hotel category.,Mar,13,2017,72,pos,,,
agoda,i visited with my big family. It was completed facility and was comfortable to stay. i will visit again.,Mar,13,2017,92,pos,,,
agoda,enjoyed it,Mar,12,2017,80,pos,,,
agoda,weekend getaway,Mar,12,2017,76,pos,,,
agoda,The view is really nice,Mar,09,2017,88,pos,,,
agoda,Did not accommodate us by staff,Mar,08,2017,68,neg,,,
agoda,there is no cons  all pros! hotel room is good. buffet breakfast is more than ok. the location is near to all the attractions. service is wonderful. I specifically enjoy the pool and the gym.,Mar,06,2017,100,pos,,,
agoda,Room was not worth the price. We were booked in the last and farthest room of the hotel. The room was quite old but it was big enough for two person. Breakfast was fantastic  Lots of variation and food choices..,Mar,05,2017,72,neg,,,
agoda,Great place to relax and unwind with the family. View is amazing. Checking in was also a breeze. Really appreciated the new look of the Cafe Veranda. Food is great.,Mar,03,2017,96,pos,,,
agoda,Elevator is not working when we arrived. Have walk around the building and use the stairs just to go to our room. Great Dinner but forgettable breakfast.,Mar,02,2017,84,pos,,,
agoda,Smile,Feb,26,2017,88,pos,,,
agoda,Good location to enjoy the burkano view and the lake with big park,Feb,25,2017,100,pos,,,
agoda,Friendly staff  we are entertained by the trio guitarist during our dinner,Feb,21,2017,68,pos,,,
agoda,It would have been a great stay  if not for the issues with my card charges  and if it was resolved without having to follow-up. It is still unresolved.,Feb,18,2017,60,neg,,,
agoda,Only positives! Incredible views of the lake  perfect spacious rooms  great staff  good food at the restaurant. Would love to have stayed longer.,Feb,16,2017,96,pos,,,
agoda,Hotel staff were friendly. Water heater on the shower was a little bit slow to heat but otherwise okey.,Feb,12,2017,84,pos,,,
agoda,I had a great stay with my friends. The breakfast buffet was superb and the view was breathtaking. Highly recommended.,Feb,07,2017,96,pos,,,
agoda,Due to its location  the hotel does not have much competition within its category. Therefore it can be seen as the best hotel  however  it definitely has opportunities to improve  especially in the price range it asks for. Good 1. Beautiful View of the sea 2. Nice lounge 3. Buffet is quite good Opportunities 1.Wifi is very inconsistent and limited 2. I have to walk every day at least 4-6 minutes from my room to the main area (lobby  lounge  etc). quite far 3. The restroom (in my room at least) can use some rennovation as its quite old,Feb,06,2017,72,pos,,,
agoda,Lovely hotel,Feb,04,2017,88,pos,,,
agoda,Our favorite hotel,Feb,04,2017,88,pos,,,
agoda,Everything was great except for the food. Not a lot of selections to choose from and the taste was just so-so.,Feb,02,2017,76,pos,,,
agoda,expensive,Feb,02,2017,56,neg,,,
agoda,Pros: - Breathtaking view of the Taal lake from our room - Very friendly staff - Pretty decent breakfast buffet - Very good food at the Taza restaurant - Decent massage at the hotel's spa - Clean and comfortable Cons: - If you are bringing a baby stroller  there's a rather long walk from the lobby area to the room  if you want to avoid the stairs. - The bathroom and bath tube's sinks were both slow running.,Feb,01,2017,92,pos,,,
agoda,Love the view,Jan,31,2017,84,pos,,,
agoda,there's a newly built wing with new rooms but they should also consider renovating the rooms in the old wing as it is obviously looking old.,Jan,29,2017,76,pos,,,
agoda,"I was able to spend slowly. It is breakfast, but the number of tables in the restaurant is less than the number of accommodations and I will be waiting. I think that the type is good and the quality is good.",Jan,29,2017,72,pos,,,
agoda,"The view from the window is the best. Although I feel that the price seems to be expensive, I decided here if I could do it. There are amusement parks nearby, casinos, good for a little resort.",Jan,28,2017,80,pos,,,
agoda,Love the view and all the staff,Jan,25,2017,80,pos,,,
agoda,Each time I stay in this hotel  I have never been disappointed.,Jan,25,2017,100,pos,,,
agoda,Our group of classmates elected to stay in this resort hotel to have our reunion activities and much to our dismay  the resort hotel failed to meet our bare minimum expectations. The registration process was tedious  disorganized and quite lengthy. The rooms and amenities were jut average. The electronic and projection equipments provided were faulty. The food was just average.The hotel was expecting a horde of people to check in but made no adequate provisions to handle this.,Jan,23,2017,44,neg,,,
agoda,Great food in Taza Restaurant. Worth the money. Soon after we checked in and unpacked our things in the room  a staff unlocked the door of our room from the outside without knocking. It was a very rude behavior. He did not apologize and merely said that he was checking the room. Obviously not a good reason not to knock.,Jan,23,2017,80,pos,,,
agoda,Perfect and excellent location to stay for. A Morning breeze and fresh air breath experience. Friendly and accomodated hotel staff. Should have a complimentry drinks upon arrival. Should have a best value room rates for family 6/8 members. Should have a more variety of foods to select for every meal. Best value meal for customers where breakfast not included in booking. But overall assestment- Taal Vista Hotel excellent for company seminars  team buildings wherein they can demand high hotel rates. But for clients wanted for family bonding  family get together  debut  birfhdays etc ... it is not recommended. It is recommended for high payed costumer. Taal Vista- a hotel evryone's dream for staycation and vacation but at a best value room rates that everybody can afford to check in. Workshops.,Jan,22,2017,84,pos,,,
agoda,Excellent service  great view of Taal lake & volcano  very efficient & kind staff  delicious food. Our family's go-to place whenever we need a vacation at home in Tagaytay.,Jan,20,2017,96,pos,,,
agoda,Best if they update the description of the room - said that it has a partial view of the lake  all we can see is the Sky Ranch beside the hotel. But Taal Vista really has a vast view of the Taal (from the garden) which is amazing.,Jan,14,2017,80,pos,,,
agoda,PROS location staff cons No wifi low hot water supply Value for money If you have the extra cash and want to splurge expecting more than the usual  look elsewhere.,Jan,14,2017,72,neg,,,
agoda,The room we got is a decent size. The bed was big (king size) and was so comfy. The breakfast was good & has a lot of choices.,Jan,13,2017,80,pos,,,
agoda,Great facilities  great view and great location right along the highway,Jan,12,2017,80,pos,,,
agoda,very clean rooms with great view,Jan,10,2017,76,pos,,,
agoda,Everything is great. I only want to say something about the check-in counter staff. Please try NOT to make a couple sleep in separate bed. We checked-in as a couple and was given a room with two twin beds. We did not complain and we just to enjoy our stay to the max. We still slept together in one small bed as we cannot sleep separately.,Jan,08,2017,100,pos,,,
agoda,We've missed our itinerary and the hotel ruined a supposed surprise for a family member because of very poor service during check in. A very embarassing situation caused! The front desk & housekeeping lied to us on the status of one of the 3 rooms we booked. Worst is up to this date they cannot provide us information on the root cause of the problem!,Jan,04,2017,48,neg,,,
agoda,Taal lake view,Jan,04,2017,76,pos,,,
agoda,"It is the second stay last year. Unfortunate, rain of the day. There is nothing you can do outside. Extremely disappointing",Jan,04,2017,68,neg,,,
agoda,we are frequent,Jan,03,2017,64,pos,,,
agoda,Be careful when booking because the website is misleading. A room on the lake wing does not mean you get a lake view. To get a lake view you must book a premier room  and frankly  the garden view doesn't look over a garden at all. Instead  the garden view looked over the back-of-house delivery/parking area and is not worth the price. After all  the reason to visit this hotel is for the lake view. We visited between Christmas and New Year and surprisingly the hotel was not adequately staffed to look after the rush of guests (i.e. breakfast was a nightmare). The rush should have been properly planned-for by hotel management.,Jan,02,2017,80,neg,,,
agoda,My family of 6 stayed from December 30  2016 to January 1  2017. It was our first time to stay at Taal Vista since we normally go to Baguio for New Year's Eve celebrations. Partied with the rest of the guests at the Countdown party which was a blast. The 2 bands played great music from the 80's! Our room which was the Deluxe King Bed - MountainView was spacious enough although the tub was quite too narrow for our liking. Might cause accidents if one is not careful. As a constructive criticism  for the high room rate being charged to guests  maybe management should consider refurbishing a little to maintain 5 star rating. Not sure if the Lake view rooms are more modern-looking. All staff are so friendly and courteous with a ready smile and attended to all our needs quickly and efficiently. Special mention to Denise from the front desk and Imee (one of the servers at the countdown party). We got a bowl of fruits on our 2nd day and some cookies and marshmallows for the kids too. It was a sweet gesture. Kids loved the sprawling lawns of the hotel and had a fun time sliding down the small slopes. They love that since we live in a condo and there's not much room for play. As a mom  I enjoyed that playtime with them. From the hotel  there is an easy access to the Sky Ranch amusement park but gate closes at 6pm. We got coupons from the front desk at half the price. In a nutshell  it was a great experience and we will be back!,Jan,02,2017,92,pos,,,
agoda,Location and service.,Jan,01,2017,88,pos,,,
agoda,Unfortunately this hotel is in need of a complete refurbishment. I believe they are trading purely on their location and views of Taal Lake.,Dec,30,2016,60,neg,,,
agoda,Love their customer service. Despite the typhoon they manage to make our stay their convinient and hassle free,Dec,30,2016,84,pos,,,
agoda,Spacious rooms  friendly staff ,Dec,28,2016,84,pos,,,
agoda,Excellent view  nice facilities  very near Sky Ranch. Very friendly staff. The traffic in Tagaytay on holidays and long weekends is horrible!!! The towels in the bathroom is a little worn out. The buffet breakfast is a little boring but they have a nice bakeshop where they sell delicious pandecoco and other goddies.,Dec,27,2016,88,pos,,,
agoda,....nice foods  friendly & respectful staff  good location !!!,Dec,26,2016,88,pos,,,
agoda,guests were brought to a very far room from the lobby it's so disappointing,Dec,26,2016,60,neg,,,
agoda,Overall experience was somehow ok. Maybe I just expected too much as this is The Taal Vista that we know and from the rate of the rooms. Pros: Location good Climate pleasant Reception accomodating Cons: Other staffs (bell service  housekeeping) need more professionalism Lack of communication with reception and housekeeping. We are already checkedin the room and the housekeeping didnt knock when he was about to place the fruit basket. Bath tub has molds and the drain is broken kept draining our bath tub water. Finishings are not strategically designed,Dec,25,2016,60,pos,,,
agoda,It was a short extended stay  good to relax and enjoy the fresh air..,Dec,24,2016,88,pos,,,
agoda,Nice rooms and view,Dec,24,2016,96,pos,,,
agoda,A very good place to just chill and relax. The rooms are kinda old  but well provided with toiletries. The towels were clean but should already be replaced with new ones (no longer white!). The mountain view was good except for the houses beside the hotel which are an eyesore (I guess the hotel can't do much about them  though). The breakfast buffet provides a lot of good choices. The view from,Dec,23,2016,96,pos,,,
