site,review,date,sentiment
booking,the buffet breakfast was good. our deluxe room is very comfy. an additional single bed was provided without a fee its definitely a plus for a fa ily of 2 adults and 2 kids.thank you Taal Vista.,2015-12-03,pos
booking,staff in the breakfast cafe are not as good. i fall in line for the breakfast but since the one behind me handed the stub first she was given seats first  so what is the line first huh? table cloth are not change after each use.,2015-12-03,neg
booking,Just the buffet breakfast,2015-12-03,pos
booking,It was not worth the money the breakfasts were not of good quality  table in the restaurant was dirty  no good coffee or fresh juice. In the room only one small shower gel and one small shampoo for 2 people  which was nearly enough for one.the games room has old and very damaged billiard table  pool is only opened till 6:00pm.Half of the devices at the gym are damaged. I think we overpaid for this hotel and it would not be my choice for second stay. IF hotel wants to charge this high amount for room  they shall adjust service to the highest standards as well.,2015-12-06,neg
booking,The view was great.rooms were very clean.,2015-12-06,pos
booking,Internet connection turns on and off.,2015-12-08,neg
booking,The view of the lae.,2015-12-08,pos
booking,Lack of signs or instructions going to our room.,2015-12-11,neg
booking,Excellent view,2015-12-11,pos
booking,Stunning location overlooking the volcano and lake  very good buffets   nice large comfortable rooms   friendly staff.  Loved Tagaytay   weather is much cooler than Manila,2015-12-13,pos
booking,Mostly everything  from the room  to the service   facilities needs alot of work and improvements. Not worth the money. I think too pricey for the condition of the rooms and facilities.rooms are so outdated.too much hidden fees.Staff are not so helpful  didnt notify customers if requests are available.Didnt like the hotel at all. Will not going to stay there ever again.,2015-12-13,neg
booking,Superb staff   awesome views   excellent food,2015-12-13,pos
booking,None,2015-12-14,neg
booking,The location is fantastic. Hotel rooms are beautiful and the hotel staffs are nice and accomodating.,2015-12-14,pos
booking,I should have reserved a room with a view of the lake.,2015-12-15,neg
booking,Everything.,2015-12-15,pos
booking,Beautiful facilties  polite staff,2015-12-20,pos
booking,Great front desk and resturant personal Super fast check-in  I have been traveling in the RP for years and this place sets the standard for front desk and  facilities.,2015-12-21,pos
booking,The front desk were extremely inefficient. I had to transfer rooms because I asked to stay an extra night (I shouldn't have had to do that in the first place)  but I obliged because a guest was checking in and wanted 3 rooms next to each other (one of which was my room). But since I had to prepare for a wedding  I wanted to transfer early and was told I could transfer by 9AM). At 9  they sent a bellhop to get our things but he had no idea where we were transferring to. The front desk personnel who arranged the transfer went on break. No one could resolve the issue and we were transferred at 11:00! The wedding I had to prepare for and travel to was at 12NN.,2015-12-21,neg
booking,The bell hops and the guards were nice.,2015-12-21,pos
booking,No elevator in ridge wing,2015-12-22,neg
booking,the food is great. location and all..,2015-12-22,pos
booking,A tad on the expensive side,2015-12-22,neg
booking,Nice view cleanliness very accomodating staffs,2015-12-22,pos
booking,Housekeeping was a littleslow but I was there on a weird time Big storm and double weddings kept them running,2015-12-24,neg
booking,The view of the lake  courteous staff  food is good,2015-12-24,pos
booking,hassle check-in even if confirmed booking and all special requests have been coordinated morethan a month prior to check-in  but when you check-in  you have to tell everything all over again... that's what you get from being so nice.  rooms have to be renovated,2015-12-27,neg
booking,Property location,2015-12-27,pos
booking,None,2015-12-27,neg
booking,Excellent view of taal volcano. Good location.,2015-12-27,pos
booking,Delays at Check-in.  I have stayed at the hotel a few times and every time the check in has been slow and lacked courtesy. I have never felt any warmth or being welcome.,2015-12-27,neg
booking,The restaurants are good  especially Taza.,2015-12-27,pos
booking,The room was not ready so we wait for 1 hour.,2015-12-27,neg
booking,The location,2015-12-27,pos
booking,Can improve the taste of the food. And install a bidet in the toilet.,2015-12-28,neg
booking,The site gives a fantastic view of Taal Volcano.,2015-12-28,pos
booking,We arrived at the hotel few minutes before 1pm. We were allowed to check in. After the SOP  for checking in  we were informed that we have to wait for a few more minutes since our room is still being prepared. We obliged as we understand that standard check in time is 2pm. After a few minutes  I checked with the front desk officer if the room is ready. I was informed that it is still being cleaned and will be finished at exactly 2pm. While we were sitted at the lobby  we noticed that some guests who have checked in were allowed to proceed to their rooms right away. So I approached the front desk officer again and told him that we noticed. I was in a different tone  when I aporoached him. I told him that we booked our room one month before and we are not walk in guests. Why do we still have to wait for 2pm while other guests are allowed to proceed to their room right after checking in. He went inside a room behind the front desk. When he returned  he told me that we can now proceed to our room. Initially he said that the room will be available at 2pm. But when I approached him in a different tone  he told me that the room is ready. He was apologetic but did not give any explanation to what happened. Also  we were not able to use their wifi because of poor signal. Tried to ask the staff one time and she just gave me a new password. I did not bother to insists on the wifi because of bad experience that we had checking in.,2015-12-28,neg
booking,The location and the big bed,2015-12-28,pos
booking,The washroom didnt have any door and no bath tub,2015-12-28,neg
booking,The view!,2015-12-28,pos
booking,Rooms are not sound proof. Bathroom faucet has no hot water. Toilet has no bidet.,2015-12-29,neg
booking,View  breakfast  staff,2015-12-29,pos
booking,Too expensive to get the taal view,2015-12-31,neg
booking,View  location  availability on peak season,2015-12-31,pos
booking,Bathrooms can be cleaner as well as the chairs and beds.,2016-01-03,neg
booking,The nearness of the hotel to taal volcano. The view.,2016-01-03,pos
booking,A tad overpriced.,2016-01-03,neg
booking,Close to restaurants. Best view of Taal volcano. Big rooms. Big bed. Beautiful hotel.,2016-01-03,pos
booking,expensive to stay longer period of time,2016-01-04,neg
booking,Accessible to many amenities and with mini park at the back of the hotel,2016-01-04,pos
booking,Room not available on check-in time.,2016-01-05,neg
booking,I like the food they serve at the buffet.,2016-01-05,pos
booking,None so far. Better if they have bath tubs in the cr,2016-01-05,neg
booking,Front desk dennise was very friendly,2016-01-05,pos
booking,If the exhaust is not running you can smell foul odor (probably from a leak in sewage vent line in ceiling void).,2016-01-05,neg
booking,the location -along the ridge  overlooking the Taal Volcano..,2016-01-05,pos
booking,the sink in our bathroom was a little clogged  the water takes time to disappear. The shower curtain smells bad.,2016-01-08,neg
booking,the view from the view deck is just fantastic. the breakfast buffet was also very good!,2016-01-08,pos
booking,Nothing,2016-01-08,neg
booking,My visitors at lake view side stayed at premier rooms on the third floor. We went the circuitous way when in fact there is a shorter route via 2nd floor lift. There should be a written instruction to guests regarding this info,2016-01-10,neg
booking,Immense improved faculties since the old Taal Vista Lodge,2016-01-10,pos
booking,No assistance from the staff taking you to your designated room,2016-01-11,neg
booking,Food,2016-01-11,pos
booking,the location  the view of the volcano,2016-01-12,pos
booking,nothing,2016-01-12,neg
booking,the service was excellent,2016-01-12,pos
booking,Aircon machine is not working well  kids on the other room are roaming around and very noisy,2016-01-12,neg
booking,Highly recommended,2016-01-12,pos
booking,The facilities are quite worn out and old. The hotel needs improvement.,2016-01-16,neg
booking,I requested for early check-in and the staff was kind enough to grant my request.  The staff are all accommodating and the place is very clean.  It makes our stay in Tagaytay really relaxing!,2016-01-16,pos
booking,rooms feel outdated,2016-01-17,neg
booking,The location/view is perfect,2016-01-17,pos
booking,My towel was mistaken as hotel towel and I found my towel dirty and wet on the floor.,2016-01-19,neg
booking,only the view of the room,2016-01-19,pos
booking,- room door paint are peeling off - floors are not clean - pillow covers are not white enough and stained  - bathroom tiles grout are not clean  - the smell of the room is moldy - I thought all their rooms has been renovated and turned to modern furnishings which shows in the picture - the rooms are not sound proof. you can hear the trolleys and kids in the hallway,2016-01-19,neg
booking,Location  room and room size,2016-01-19,pos
booking,None  i think,2016-01-20,neg
booking,Banquet service,2016-01-20,pos
booking,The view from the restaurant towards the lake is breathtaking. Friendly staff.,2016-01-22,pos
booking,I would say the only thing that bothered me was the availability of the pool. It closed at 7:00pm. I was there for a wedding and with all the practice and things going  I would have liked to relaxed in the pool when I got back to the hotel.,2016-01-23,neg
booking,I really appreciate the staff and how kind they were. They we very helpful and responded quickly to me and my girlfriend's needs. The hotel overall was very clean as well. And the view at the lookout was amazing.,2016-01-23,pos
booking,The unit we stayed was very near the water pump/water heater and it keeps on working overnight. My wife can't sleep,2016-01-23,neg
booking,The staff is very attentive and courteous  foods was great and the view of taal is stunning,2016-01-23,pos
booking,There's no videt in bathrooms.,2016-01-23,neg
booking,I liked the privacy and the way my needs were accomodated by the staff. I was able to rest and relax which i badly needed that time.,2016-01-23,pos
booking,The aircon was leaking.,2016-01-24,neg
booking,The food was good. Staffs were nice. Security was good also.,2016-01-24,pos
booking,The rooms are far from the lobby.  The hallways are long  there are no chairs to at least rest after the long walk.  The elevator is not strategically located and you will lose your breath if you are getting the room with balcony.  There's another elevator that you can reach after climbing the stairs.  Not advisable for seniors but they have wheelchairs for those who need assistance. My mom stayed in the room alone until I arrived before midnight  creepy but she said she heard someone snoring behind her while she was sitting by the writing table.  Not sure if there are stories of this kind in the same room  just wanted to let you know :)  We just slept with the TV and lights on instead. :) CIGNAL's cable signal goes on and off.,2016-01-25,neg
booking,I like that the hotel is far from the busy area near Lourdes Church though a quiet place for a church is much appreciated. The room is spacious but VERY FAR TO REACH!  Bathroom is also spacious with complimentary toiletries.  They have an iron and ironing board.  The bed is comfortable.  Take note that we stayed in the new building. The buffet has a lot of choices and are being refilled as soon as it's empty.  They have a good spread.  They have juices and fruits.  The bread items are a bit hard.  Staff are very helpful. The main buidling is elegantly designed.,2016-01-25,pos
booking,The food! Not really good! The value of money for buffets are not reasonable.,2016-01-25,neg
booking,The location and the food,2016-01-25,pos
booking,The room was not clean  tiles from floor are coming off,2016-01-26,neg
booking,wonderful experience,2016-01-26,pos
booking,No blanket under the duvet...its unsanitary..late checkin though we requested for early checki in..requested for a non smoking rooms but we landed in a smoking room,2016-01-26,neg
booking,Breakfast.,2016-01-26,pos
booking,- Facilities and Furniture are quite old. Can probably use remodeling or upgrades,2016-01-26,neg
booking,The service and food is good. The hotel is nearer to the place where we attended wedding.,2016-01-26,pos
booking,During check in  there was still a wait for the room to become available,2016-01-26,neg
booking,- Asmara Spa in Taal Vista; Masseurs were very good - Staff were attentive and courteous - One of the best views in Tagaytay,2016-01-26,pos
booking,I didn't like the fact that it was a short stay for me. Haha.,2016-01-27,neg
booking,Everything was just perfect. A paradise treat really. Beautiful and relaxing. Had the best view as well. Very nice,2016-01-27,pos
booking,Beatifull location. Tranquility  away from Manila,2016-01-28,pos
booking,The swimming pool could have been heated.,2016-01-30,neg
booking,Buffet!,2016-01-30,pos
booking,They should give the rooms a revamp. The floortiles in our room were loose... Breakfast was plenty but mediocre.,2016-01-30,neg
booking,Everything except for the swimming pool.,2016-01-30,pos
booking,We were not given the room with view,2016-02-01,neg
booking,Celebrated my birthday here in Taal Vista and it's one of the most memorable! :-) they prepared something for me in my room and gave all the request we asked  the best staff I've seen in a hotel! Will book this hotel for my wedding for sure.,2016-02-01,pos
booking,Rooms are old. The door handle in our room looks like it went through haphazard repair. The bathtub is old and stained. Paint peeling. Lighting needs improvement. (We were placed in the old wing-- maybe the new wing is better),2016-02-02,neg
booking,Right beside Skyranch.,2016-02-02,pos
booking,I found the breakfast buffet lacking in food choices. i wish there was a bidet in the bathroom.,2016-02-02,neg
booking,The location was excellent  near reataurants  it had the best view of  the lake. I had a very relaxing bath with the hot water and bathtub. Service was excellent.,2016-02-02,pos
booking,very nice view of taal and yummy breakfast,2016-02-02,pos
booking,Old furniture and so so rooms,2016-02-03,neg
booking,Location,2016-02-03,pos
booking,no bidet or water spray in the toilet.,2016-02-06,neg
booking,Amazing location,2016-02-06,pos
booking,The location facing Taal Lake is relaxing. The staff are hospitable and courteous.,2016-02-09,pos
booking,No toilet spray. Price is not reasonable for a room without a good view and balcony. I felt disappointed  I was not given a chance to upgrade my reservation to Balikbayan package.,2016-02-09,neg
booking,Nice location,2016-02-09,pos
booking,rooms especially at the mountain wing looks old already; needs renovation Sink is leaking; all maintenance can do is place a towel on the floor to avoid slippage,2016-02-09,neg
booking,Our room is nicely located to my preferred view. Staff is very accommodating. Facilities are very nice.,2016-02-09,pos
booking,very convenient location,2016-02-09,pos
booking,No bidet in the toilet.,2016-02-10,neg
booking,The view was nice. Room was comfortable.,2016-02-10,pos
booking,There wasn't anything to do  and the food was really disappointing,2016-02-11,neg
booking,The view and spa was amazing,2016-02-11,pos
booking,Poor connection of internet,2016-02-14,neg
booking,Restaurants serve nice food  wonderful musical performance and marvellous view of Taal Lake.,2016-02-14,pos
booking,No bidet. Toiletries are ordinary. Towels are thin and donot look properly washed- dirty white.,2016-02-14,neg
booking,An amazing views  facilities  foods  good quality of service...,2016-02-14,pos
booking,all was good  a little old and pricy considering price paid but unsure if any better options around the area,2016-02-15,neg
booking,staff and service  good food  comfortable rooms,2016-02-15,pos
booking,hard pillows...  old hard towel... only one towel and no face towel,2016-02-15,neg
booking,The hotel terrace has an undeniably good view of Taal Lake.,2016-02-15,pos
booking,Long walk for older guests from the front desk to the rooms although good exercise.,2016-02-16,neg
booking,breakfast excellent,2016-02-16,pos
booking,toilet privacy,2016-02-16,neg
booking,The bed is extra comfy !,2016-02-16,pos
booking,Cold food at breakfast buffet,2016-02-16,neg
booking,The scene was fantastic,2016-02-16,pos
booking,-had to call and request for towels and toiletries because these were not provided in the room when we got there -aircon not too cold even if it's set to lowest temp,2016-02-16,neg
booking,view point Taza restaurant breakfast,2016-02-16,pos
booking,I have stayed in this hotel twice. The first time  in 2013  was in the Lake Wing. I remember there being a lot of noise from Sky Ranch Park  are really inconvenient path to our room through a ballroom and up a flight of stairs before reaching the elevator (this is important if you're traveling with people with disabilities)  and incredibly bad service.  Despite deciding at that point that I would not return to this hotel  I decided to give it another chance in early 2016  in the Mountain Wing.  This wing is considerably older than the Lake wing  and while generally clean and maintained  the quality of our room was underwhelming.  On top of this  a regular stream of noisy guests in the hallway kept us up from 11pm to 3am. As they loud guests were always different  it didn't appear that calling the front desk would reduce the problem. When complaining to the Manager in the morning  I was again underwhelmed by the customer service.,2016-02-16,neg
booking,The weather,2016-02-16,pos
booking,Towels does not look clean (off-white). this is not a five star hotel. very old facilities like shower  etc.,2016-02-16,neg
booking,Exceptional service from caf veranda staff,2016-02-16,pos
booking,Hidden fees were a big surprise.,2016-02-17,neg
booking,The buffet breakfast  the views of Taal Lake and accesibility of the place with other places of interest.,2016-02-17,pos
booking,dirty room terrasse missing clean towels empty dishes in the corridor. dirty Kid's corner Queing for breakfast. tour organisation,2016-02-17,neg
booking,Yummy breakfast!,2016-02-17,pos
booking,it's our first time to travel as newly weds and looking forward in staying and celebrating Feb14 at Taal Vista Hotel however  -after checking in no one assisted us to our room  we have to look for it by ourselves. -hated the view of our room  they said (front desk) that the view will be the garden but apparently it's not. -made a reservation at cafe veranda only to find out that our names are not on the list.,2016-02-18,neg
booking,Great staff and great view.,2016-02-18,pos
booking,The price rate for this hotel is not worth it. Theres nothing wow in this hotel except for the view but the bed and room are too simple like a 2 star hote.  The check was lousy  took us 45 mins standing wating to be entertained.,2016-02-19,pos
booking,Alexes staff member from cafe Veranda helped a lot with our small baby. Coming back to the hotel for the 4th time like it a lot. Truffles from housekeeping is a good idea.,2016-02-23,pos
booking,Great room  excellent view of the lake. Breakfast was superb.,2016-02-23,pos
booking,Long walk from the lobby to the room and far exit door The direction board is bit confusing  i cant find the swimming pool Little preferance for breakfast buffet,2016-02-25,neg
booking,Always good food. Their bistek tagalog was my favorite.,2016-02-25,pos
booking,The food was not good. I think it is overpriced. I asked for extra bed  charged me 1800 including brkfast but I woke up at 3am bec I was cold. The blanket with the extra bed too thin so I asked for an extra blanket. Noisy people on the upper floor & room beside us.,2016-02-28,neg
booking,Staff was super friendly & helpful. Location is perfect.,2016-02-28,pos
booking,No carpets in rooms. Minimum buy amount to sit in coffee lounge.,2016-02-28,neg
booking,The view and excellent service,2016-02-28,pos
booking,Bed was hard for my liking. During breakfast  there was a wide variety of food on the buffet but was disappointed bec food that's supposed to be hot was cold. No brown sugar or splenda alternative for coffee.,2016-02-28,neg
booking,the place is very nice for family relaxation,2016-02-28,pos
booking,The room's view The ambiance of the room and everywhere The breakfast,2016-03-01,pos
booking,The room and beddings too simple as well as the CR. This is a 2 star hotel,2016-03-02,neg
booking,The view,2016-03-02,pos
booking,Nothing significant.,2016-03-06,neg
booking,The food was great it is in a perfect position with tremendous views and the staff were excellent,2016-03-06,pos
booking,Very very very bad wifi  Rooms need maintenance  Bathroom is not clean at all and needs maintenance as well,2016-03-07,neg
booking,Amazing breathtaking views over the Taal lake and volcano  Friendly staff Great breakfast buffet Good location mot far from the lake as well as the shopping malls,2016-03-07,pos
booking,They failed to cancel the security deposit posted on my card. Worse  even doubled the amount held. I tried to have it corrected but my first request only resulted to the cancellation of the 1st oversight. I had to call again a couple of days to remind them that they had not completely corrected the mistake.,2016-03-12,neg
booking,Taal Vista is a good place to relax though.,2016-03-12,pos
booking,they gave us a room too far from the entrance  with 2 flights of stairs and no elevator  the view from the room is an ugly overgrown lawn  towels are old and thin,2016-03-15,neg
booking,the lobby  the picturesque view from the hotel grounds overlooking Taal lake  great breakfast selection  big sized rooms and bathroom,2016-03-15,pos
booking,Expensive hotel without even bidet installed in their bathroom. During the two days stay. Breakfast is good but i have to take my own coffee. The waiters just ignores me ehen im calling them. For two straight days. I dnt know if they choose who they serve coz the table besides me was well served. :(,2016-03-19,neg
booking,The scenery  cozy feel of the room and hotel.,2016-03-19,pos
booking,The room is so comfortable with a nice lake view,2016-03-21,pos
booking,Beautiful views  great value,2016-03-22,pos
booking,There was no floor mat for the bathroom and i would have liked fresh milk in the refrigerator i don't like creamers.,2016-03-22,neg
booking,Best view in the world. Very nice staff  let us return to our room to shower even after we had checked out. (Taal volcano trek it very hot and dusty),2016-03-22,pos
booking,It is much better if you would install a bidet in the comfort  room because it was very inconvenient and also the elevator it should be a little bigger and it needs repair because it doesn't look good,2016-03-23,neg
booking,View coffee shop,2016-03-23,pos
booking,The room is so dirty and most of all our door & window is broken.,2016-03-26,neg
booking,the food is good  the place so relaxing.,2016-03-26,pos
booking,Staff can be more friendly and accomodating. Facilities are a bit outdated considering the room charge/night.,2016-03-27,neg
booking,Breakfast buffet,2016-03-27,pos
booking,Choices of food in the breakfast buffet.,2016-03-29,neg
booking,The hotel has a spectacular view of Taal Lake. It's a huge hotel with complete facilities.,2016-03-29,pos
booking,Walls seemed very solid  but weird we were heard noises in the middle of the night.  Contacted the front desk about it  but they said it could be from a TV from another room.  Very strange...,2016-04-09,neg
booking,The food  the room and all the staff.,2016-04-10,pos
booking,Old facilities. The mattress and pillows were hard. It was an uncomfortable 3-night-sleep. I didn't expect for a 5-star hotel to have those kind of mattress pillows. 3-star hotels in Makati are even better.   Even worse...the electrical sockets available are type A sockets only. Luckily there was usb port in their LCD tv and I managed to charged my phone. But really disappointed  the rest of my devices weren't charged because all of my chargers are type E.  Disappointed also with the view from our room. I got the mountain view. It was not worth the money.,2016-04-19,neg
booking,Good location and Sunday mass was held at the hotel,2016-04-19,pos
booking,The shower curtain had a nasty smell. There was also an unpleasant smell coming from the drain.,2016-04-29,neg
booking,Great view of the Taal volcano from our room,2016-04-29,pos
booking,kids stay free BUT they did not eat free. Breakfast buffet was also sub par  especially for 860 pesos a head.,2016-05-02,neg
booking,hotel had a good view of Taal volcano,2016-05-02,pos
booking,Really expensive and food was not upto the mark.,2016-05-03,neg
booking,Great location,2016-05-03,pos
booking,Better and more prompt customer service  we were checked 2 hours late when in fact we arrived more than 30mins ahead of our ETA,2016-05-03,neg
booking,The room and the breakfast buffet,2016-05-03,pos
booking,Service at the restaurant.,2016-05-03,neg
booking,The lunch served on day 1 of convention.,2016-05-04,neg
booking,location is just an hour-drive from our residence. staff/employees are very polite.,2016-05-04,pos
booking,The view  comfort and security of place. Will definitely be back for leisure.,2016-05-05,pos
booking,Room was hot,2016-05-05,neg
booking,Location Security View,2016-05-05,pos
booking,Nothing i could think of. Swimming pool maybe as  it is quite far  from the new wing.,2016-05-05,neg
booking,We have always been  eating at Taal Vista Hotel whenever somebody in the family celebrates a birthday. Our anniversary is a day before my son's birthday so we opted to stay for a night  in the hotel.. It was  more  relaxing to eat knowing you have a good hotel to stay on.,2016-05-05,pos
booking,The Sky Ranch - which resulted in  traffic along the national Highway.,2016-05-05,neg
booking,Small hallway going to rooms Smaller room for the price we paid compared to other hotels,2016-05-06,neg
booking,The breakfast buffet  pool  view,2016-05-06,pos
booking,I cannot think of anything as of the moment.,2016-05-06,neg
booking,Easy booking... Friendly staff.,2016-05-06,pos
booking,The place is over looking the Taal Volcano as well as the Taal lake. The sumptuous breakfast made our day since we enjoyed the food being served.,2016-05-07,pos
booking,Our room doesnt have a shorter route to pass thru going to the lobby.,2016-05-07,neg
booking,Love the room  facilities  location of the hotel  employees and security.,2016-05-07,pos
booking,The restroom  the toilet bowl should come with bidet.,2016-05-07,neg
booking,I didn't expect that 1 of our room is in the basement  and the towels are old  I think that's the bad part..but overall it was great  I want to stay again at Taal vista hotel nxt time when I go to Tagaytay.,2016-05-08,neg
booking,The renovations have transformed Taal Vista into a luxurious hotel. The gardens are well kept. The rooms are kept clean! The staff are friendly. The view deck is marvelous!,2016-05-08,pos
booking,Food is good  both in taste & quality.,2016-05-09,pos
booking,Kids play area was closed for renovation,2016-05-09,neg
booking,The aircon in our room was not working.  It was night time when it finally got fixed.,2016-05-10,neg
booking,The view... the peace... the ambiance.,2016-05-10,pos
booking,n/a,2016-05-10,neg
booking,breakfast,2016-05-10,pos
booking,Breakfast was great  there's a lot of chooses but I forgot to try the dessert. The beds are comfy  one thing I noticed in our room in the basement our towels are old. The other 2 rooms we have was excellent  the big kids enjoyed their rooms.,2016-05-10,pos
booking,Very relaxing view,2016-05-10,pos
booking,One of our room is in the basement  I didn't expect that...I think that's it.,2016-05-11,neg
booking,Broken aircon poor quality of bed.,2016-05-11,neg
booking,No night swimming,2016-05-12,neg
booking,Swimming  breakfast buffet  the view of taal lake from the terrace,2016-05-12,pos
booking,I like the staff very accommodating  nice view of taal lake & the breakfast was great,2016-05-12,pos
booking,The Bathroom is old and dirty.,2016-05-12,neg
booking,Nice place and good foods,2016-05-12,pos
