Review,Rating Date,Rating,Sentiment,Site  
No vday inthe rest room,4-Sep-17,,neg,booking
The room should have vday in the rest room and other restrooms in the lobby.  Everyrhing went well.,4-Sep-17,,pos,booking
Coffee was cold. Called the customer/room service literally 6 times! Nothing happened! Our request didn't arrived. So we decided to personally go to the lobby and ask. Wasted 2 1/2 hours waiting for nothing. We were supposed to surprise our mom coz it was her birthday  because of this  surprise was ruined. Very disappointing ...,1-Sep-17,,neg,booking
The reception was accommodating!  The view deck and garden was superb! The rooms are great. Had a good night sleep. Feels like home!,1-Sep-17,,pos,booking
Lousy service in restaurant everyday at breakfast! Disinterested and non attentive staff and could not cope with a full house!,1-Sep-17,,neg,booking
The hotel location and grounds and lake view room.  Plus the FO and Spa staff.,1-Sep-17,,pos,booking
The view at our room was the courtyard. Kinda sad and gloomy,1-Sep-17,81,neg,booking
Staff were very friendly.  Location was superb  lovely view from the main balcony except from our room.  Live music was good too.,1-Sep-17,81,pos,booking
The view from our room was a bit of a let down.  The hallway from the old building needs updating.,29-Aug-17,92,neg,booking
Breakfast overload,29-Aug-17,92,pos,booking
Upon check in  the staff is ignorant about senior citizen discount. ..we persisted and eventually got it.,29-Aug-17,83,neg,booking
The view food and staff.,29-Aug-17,83,pos,booking
Some rooms needs to be updated. Bathroom needs to be updated as well.,29-Aug-17,79,neg,booking
Room,29-Aug-17,79,pos,booking
The breakfast buffet.. the fish was salty,28-Aug-17,88,neg,booking
Location  facility,28-Aug-17,88,pos,booking
Meal option  no vegetarian or halal menu.  Wifi sometime loss and very slow,28-Aug-17,96,neg,booking
Not enough restaurants within walking distance. Hotel taxi to airport or bus station not free.,27-Aug-17,,neg,booking
Pleasant and relaxing.,27-Aug-17,,pos,booking
Wifi is weak.....,27-Aug-17,,neg,booking
Like the Amenities and the view,27-Aug-17,,pos,booking
Poor explanation regarding pre-authorization payments.,26-Aug-17,,neg,booking
Bed,26-Aug-17,,pos,booking
No bidet and old model of hot and cold shower,25-Aug-17,,neg,booking
Awesome view  bit cold temperature  warm welcome by the hotel  and campfire during dinner.,25-Aug-17,,pos,booking
No bidet,23-Aug-17,81,neg,booking
we stayed in the lake wing of the hotel. we originally booked a deluxe room but got an upgrade upon check in. the room was clean  bathroom was spacious  and the view of Taal lake from the veranda was very relaxing. staff were very courteous and helpful.,23-Aug-17,81,pos,booking
No desserts (other than fruits) on breakfast  view wasn't as expected (view was the Sky Ranch and highway - room without balcony)  cold floor (tiles),23-Aug-17,96,neg,booking
I lost my purse and the staff were brilliant making sure I got back intact!,23-Aug-17,96,pos,booking
food in the restaurant was pricey and the breakfast buffet didn't have a lot of options. nevertheless  if you don't like the food in the hotel  there's a Robinson's mall nearby. you can also eat at Bag of Beans or Mushroom Burger,22-Aug-17,88,neg,booking
The staffs are friendly and polite. The rooms at the Lake wing are the best.,22-Aug-17,88,pos,booking
The Game room and the things inside it is quite old. I suggest they renovate it  replace the billiard table  buy an original billiard balls  add more dart pins (there is only one). The TV is not working. Add and think of other indoor activities/recreation. :),22-Aug-17,67,neg,booking
Clean facilities. Nice coffee (nespresso) in the room. Helpful staff. Great breakfast. 'Appreciate the variety and attention to details (vegetables cut  etc.),22-Aug-17,67,pos,booking
Gym facilities could be improved.,21-Aug-17,83,neg,booking
Booking.com price doesn't include hotel taxes  and I think its in a fine print  so felt a bit annoyed about the increased costs when we reached the hotel and got to know about the costs,14-Aug-17,,neg,booking
Most of the things except pricing,14-Aug-17,,pos,booking
From the time I made a booking  I requested for a quiet room. But when we already entered  our room it was very noisy  I think that there are renovation being done near our room. So I called the attention of the front desk and she immediately transferred us.,8-Aug-17,,neg,booking
I really liked their grilled pork & beef it's very juicy. Actually we really loved all the foods.,8-Aug-17,,pos,booking
While breakfast offer many choices  it's fair to say that it's not as tasty as i thought View of the room is not the best,7-Aug-17,,neg,booking
Great location and view. Just next to sky ranch Easy to find since there is a lot of sign,7-Aug-17,,pos,booking
The service at the coffee shop at night when my wife and I stayed there to order drinks.,7-Aug-17,,neg,booking
I like the warmth of your staff especially Ericka at the friont desk.  The front office manager was so friendly and accommodating!,7-Aug-17,,pos,booking
They have poor customer service. I went there because I wanted to enjoy since it was my birthday but unfortunately most of the staff I encountered were snob and not easy to approach. The desk officer also told me I will be given a complimentary item which will be served directly in the room since its my birthday but nothing came.,6-Aug-17,81,neg,booking
The breakfast buffet was great though  we all enjoyed it,6-Aug-17,81,pos,booking
We don't like the view from our room.,4-Aug-17,67,neg,booking
We appreciate the kid's club though there's not much in there. My kids love the pool as well.,4-Aug-17,67,pos,booking
What I don't like is our room is not located at Ta-al lake view. The bathroom door is hard to pull and the water from shower room over flow outside the shower door.,4-Aug-17,92,neg,booking
I like the view of Ta-al lake.,4-Aug-17,92,pos,booking
The room didn't have bathtub and the room looks outdated. We stated at the lake view room with balcony.,3-Aug-17,75,neg,booking
The location is amazing! The room size is huge. The staff are awesome.,3-Aug-17,75,pos,booking
The service at the restaurant  room service  and IT.,3-Aug-17,96,neg,booking
The cleanliness of the place.,3-Aug-17,96,pos,booking
View,3-Aug-17,71,pos,booking
Mini-bar was empty.  No bath may or hand towels in bathroom,1-Aug-17,,neg,booking
The view!,1-Aug-17,,pos,booking
No bidet or toilet sprinkler.,1-Aug-17,,neg,booking
Premier room at the lake wing is big and has a nice view of the Taal lake. Quiet. Clean.,1-Aug-17,,pos,booking
The aircon in the room that we've stayed in   room 352   has a leak which causes the floor to be wet and slippery  it even wet my clothes that I left on the side chair  aircon seems old and takes time to cool the entire room.,1-Aug-17,,neg,booking
The location   ambiance and buffet breakfast.,1-Aug-17,,pos,booking
The weather. When we went there it was raining,31-Jul-17,,neg,booking
Over looking,31-Jul-17,,pos,booking
Our room was a bit far and we needed help during  check out but nobody came so we had to carry all our stuff with our baby. Plus the screen door of our room is brokern.,31-Jul-17,81,neg,booking
The room is comfy and nice.,31-Jul-17,81,pos,booking
Booked family of six and was separated by the two wings of the hotel (10 minute walk between).,31-Jul-17,83,neg,booking
Very family friendly.,31-Jul-17,83,pos,booking
the restaurant food is slightly pricey and not so good taste....,31-Jul-17,71,neg,booking
the view from my room and friendly front desk  that's all,31-Jul-17,71,pos,booking
the comfort room. dirty,30-Jul-17,71,neg,booking
just the venue.,30-Jul-17,71,pos,booking
I requested a room with  a nice view of the taal lake but the room they gave me was in front of a big tree. All i saw was leaves. And the pool was very far from the new wing  not so convenient if you have a baby with you. I also saw a cockroach in our bathroom. ,29-Jul-17,75,neg,booking
Great view,29-Jul-17,75,pos,booking
Fridge is not cold and not really clean.,26-Jul-17,,neg,booking
Stunning view. Clean swimming pool and accessible famous spots and restaurants,26-Jul-17,,pos,booking
Property needs upgrade and more options for buffet breakfast,25-Jul-17,,neg,booking
It was the location of the property,25-Jul-17,,pos,booking
The.linens in the bathroom seem to be old.,24-Jul-17,,neg,booking
The client service rep (Kevina)at the counter was very courteous and accommodating.,24-Jul-17,,pos,booking
Bathroom is  a little old in our room,23-Jul-17,,neg,booking
Good breakfast buffet  volcano view from the backyard  nice staff,23-Jul-17,,pos,booking
I think management is doing a poor job maintaining the place. It has deteriorated quite a bit since the last time we stayed there in 2013.,22-Jul-17,81,neg,booking
The location was superb.,22-Jul-17,81,pos,booking
What i dont like is i call for tray clearance but nobody come to pick up.. I hang the please make my room sign before we go to veranda for breakfast .. When we came back after 4 hours still nobody clean our room or collect the rubbish.. I hope in the future it will be improve the housekeeping service.. We stay there 3 days and 2 nights.. Anayway thanks for the friendly staff and to the management of taal vista hotel..,21-Jul-17,83,neg,booking
I like the staff they are very polite.. I like the food in veranda and the staff as well..,21-Jul-17,83,pos,booking
I dont liked the beddings its itchy  probably the bugs!,21-Jul-17,75,neg,booking
I liked the courtesy of staffs  & the food!,21-Jul-17,75,pos,booking
Game room needs a little updating.,12-Jul-17,79,neg,booking
Staff was friendly and view was great and breakfast buffet was excellent.,12-Jul-17,79,pos,booking
Coffee,11-Jul-17,79,neg,booking
Very good breakfast,11-Jul-17,79,pos,booking
We stayed in the mounting wing for our first night. The room had a nice view. But the room in this wing seemed outdated compared to the Lake wing rooms. Sadly  the shower drain we had in our room wasn't working properly. It was flooding every time we had to use the shower. We had requested to change rooms for our second night. Also  there was an on-going construction in the mountain wing but they weren't noisy or too obstructive.,11-Jul-17,71,neg,booking
The location was great. We stayed here for a friend's wedding in the area. Rooms in the Lake Wing are newer and better. And the rooms with the lake view are great. We transferred to a Lake wing room on the second night. Although we did not get the lake view  we were lucky that the room we got had a nice view  of the nearby park and a glimpse of the lake. Overall  it was a  good comfortable stay.,11-Jul-17,71,pos,booking
amenities are a little dated,10-Jul-17,,neg,booking
location and view,10-Jul-17,,pos,booking
Check in and check out .. long wait time!,10-Jul-17,,neg,booking
Location location location,10-Jul-17,,pos,booking
some food are not good taste,7-Jul-17,,neg,booking
All the staff that I have encountered were very courteous and helpful. We did enjoyed the variety of the buffet breakfast and the view of taal volcano from the veranda.,7-Jul-17,,pos,booking
I think the rooms could use some updating. Wonderful location and has great amenities. Historically an important landmark of the area. To keep up with the growth in tourism in the area updating of the rooms would be beneficial.  The rooms are still fine  just not as contemporary as the other hotels we stayed in.,7-Jul-17,,neg,booking
Scenic view  food and staff,7-Jul-17,,pos,booking
it's a costly specially when peak season..,6-Jul-17,81,neg,booking
garden  clean room  great view to taal view,6-Jul-17,81,pos,booking
The cold weather,6-Jul-17,75,neg,booking
The location of the property and views of Taal are amazing! The restaurant is great!! Food and bar was amazing...,6-Jul-17,75,pos,booking
We like the place/location.  the view of course the view deck is very relaxing. the staffs are very warm. the food is good the room is good,6-Jul-17,75,pos,booking
beautiful location. staff were so accommodating. buffet was good.,6-Jul-17,96,pos,booking
The buffet breakfast,5-Jul-17,83,pos,booking
Id Love the relaxing view of taal lake..walking distance to skyranch.staff are helpful and accomodating.,4-Jul-17,96,pos,booking
Evening menu not much choice didn't find out about 2 NFL resteraunt till day we left not much information about facilities,3-Jul-17,,neg,booking
the view,3-Jul-17,,pos,booking
price,3-Jul-17,,neg,booking
Good food and great scenery,3-Jul-17,,pos,booking
The kingsize bed in our room was soggy and squeeky  i.e. uncomfortable. Apparently  over used and needs to be replaced.,2-Jul-17,,neg,booking
Breath taking view of the lake. The breakfast buffet selection.,2-Jul-17,,pos,booking
Lack of public transportation.,1-Jul-17,,neg,booking
Great view and staff,1-Jul-17,,pos,booking
We had to wait to be seated for breakfast. They had difficulty in accomodating all guests during breakfast.,30-Jun-17,81,neg,booking
We liked the service.,30-Jun-17,81,pos,booking
Internet is slow once inside the room,29-Jun-17,67,neg,booking
The breakfast included in the package is great!,29-Jun-17,67,pos,booking
the bed sheets  linens needs to be replaced,28-Jun-17,83,neg,booking
food and view,28-Jun-17,83,pos,booking
A very busy lobby on the lake wing,28-Jun-17,79,neg,booking
The surprise greeting cake for my daughter upon our check in.,28-Jun-17,79,pos,booking
They upgraded our booked accomodation,26-Jun-17,83,pos,booking
Limited choice for breakfast buffet,25-Jun-17,,neg,booking
Amazing ambience,25-Jun-17,,pos,booking
Cr has no bidet And aircon was not strong enough to provide adequate room temp,22-Jun-17,,neg,booking
location and food,22-Jun-17,,pos,booking
The room was too far from the lobby and parking,22-Jun-17,,neg,booking
overall ambiance is very relaxing..staffs ang very friendly,22-Jun-17,,pos,booking
Nothing :),21-Jun-17,,neg,booking
Accomodating staff and friendly guards and location,21-Jun-17,,pos,booking
I paid 1800 for an extra bed and the breakfast buffet but they did not provide the extra bed that i paid for. The price that is posted here in booking.com is 4582.69 but i was charged with 7400 though i am aware of the additional 1800. Booking.com should have informed that prices are subject for change.,19-Jun-17,81,neg,booking
Convinient,19-Jun-17,81,pos,booking
Premier room has no bidet,19-Jun-17,79,neg,booking
The room is big with very nice background.,19-Jun-17,79,pos,booking
Great view,19-Jun-17,79,pos,booking
All is perfect  location and ambiance  love the sceneries in veranda! Staff are very friendly and courteous  always smiling :),19-Jun-17,96,pos,booking
According to my 3yr old daughter the room is nice and cozy. The breakfast buffet was ok its not as what i have expected for the price.,18-Jun-17,83,pos,booking
Ambiance,18-Jun-17,92,pos,booking
Comfort room and the towels,18-Jun-17,,neg,booking
The food in the veranda,18-Jun-17,,pos,booking
When we checked-in at 2:40 our room wasn't ready yet. It was kind of disappointing cause we had a child with us so we had to wait until 4:30.,17-Jun-17,,neg,booking
The breakfast was amazing  I guess that's one reason why we keep coming back. I love that all your buffets  food and restaurants are all in to give the best.,17-Jun-17,,pos,booking
Service at the lobby is poor. We waited too long to be served.,17-Jun-17,,neg,booking
Quiet and relaxing place to spend the weekend.,17-Jun-17,,pos,booking
Wall is too thin. You can hear everyone's everything.,17-Jun-17,,neg,booking
It was okay.,17-Jun-17,,pos,booking
The waiters & waitress at the buffet hall don't  smile or greet guests considering that there weren't too many guests having breakfast that time. The buffet selection that day was very limited & wasn't exactly what we expected it to be since we have had great buffet breakfasts here before.,16-Jun-17,81,neg,booking
The overall comfort and courteous staff are truly amazing!,16-Jun-17,81,pos,booking
Limited channels in cable channel,16-Jun-17,67,neg,booking
This hotel is one of the best in this area. Special thanks to Krystelle from Front Desk.,16-Jun-17,67,pos,booking
The first room that we booked. I got sick after i ate Breakfast.,16-Jun-17,88,neg,booking
The chefs at the buffet hall at the noodles   pastries and omelette stations were the most friendly & most accommodating staff that served us.,16-Jun-17,88,pos,booking
Bed was comfy,13-Jun-17,67,pos,booking
The rooms are far from the reception  fauset is broken. But the place has a fantastic view from the restaurant..,12-Jun-17,75,pos,booking
Didn't like the first room we booked. Dirty and smelly linens  bathroom dirty toilet seats dirty   Floors looked soo old  and dirty. so  we have to upgrade to another more expensive room. But second room was awesome! Food wise ist's alright too expensive for the quality of food and not too much selection.,12-Jun-17,92,pos,booking
A few mosquitoes inside the room Lavatory sink hve no drainage plug,11-Jun-17,,neg,booking
Food and facilities,11-Jun-17,,pos,booking
We booked the lake wing coz we want to have the lake view room only to find out that we were given a room without view. Asked for room change but was offered a room upgrade for extra cost. We only stayed there for less than 20 hours. In total we spent almost 8000 php  very expensive for 16 hrs stay only. :(,10-Jun-17,,neg,booking
the live music at the lobby (pianist),10-Jun-17,,pos,booking
limited selection of food,10-Jun-17,,neg,booking
Since the weather in tgaytay is a bit cold its much better if the pool is heated. The connecting area was far to lake wing area. I cannot find the play area for kids,10-Jun-17,,pos,booking
No assistance going to the room,6-Jun-17,,neg,booking
The food are good and delicious..nice stay..,6-Jun-17,,pos,booking
Playground for kids bec there is a bad smell,5-Jun-17,81,neg,booking
The views of the lake,5-Jun-17,81,pos,booking
The main restaurant only offers buffet on breakfast and dinner. With pre-teens in my group who don't eat much  it would be nice if they also serve ala carte along with the buffet menu.,2-Jun-17,79,neg,booking
View and facilities,2-Jun-17,79,pos,booking
Facilities are a bit dated Veranda too small to accommodate everyone for breakfast Mountain wing was quite a walk from the lobby,31-May-17,71,neg,booking
Nice hotel.,31-May-17,71,pos,booking
The room we stayed in was quite dated and was clean enough and tidy  but could do with a deep clean in bathroom and wardrobes etc. very little soundproofing between rooms,30-May-17,79,neg,booking
Convenient location; has a spa; good food choices Bed was very comfortable and smelled very good! Taal suite was just right for a small group meeting/planning session,30-May-17,79,pos,booking
Great breakfast. Very comfortable bed. Friendly staff.,29-May-17,83,pos,booking
the staff during breakfast didn't gave my request for a ketchup even though he passed on our table several times. its like nothing happened. it ruined the breakfast a bit!,27-May-17,,neg,booking
Good location,27-May-17,,pos,booking
The kids play area was boring...lacking in activities to do,25-May-17,,neg,booking
The room was spacious and clean...but the view from the window was distracting because of an old small house nestled amongst the trees...the breakfast buffet has a wide variety of food choices...excellent taste,25-May-17,,pos,booking
The extra bed is too expensive for the charge It looks like as if you're lying on a hospital bed and too old  not that comfortable at all,25-May-17,,neg,booking
Accessibility to sky ranch and also the view,25-May-17,,pos,booking
Almost 1 hr delayed check in and the staff at the front desk can't even tell when can we accommodate the room they just keep on telling us that they will check on the housekeeping staff...they told us to wait but can't even tell us how long ,24-May-17,,neg,booking
Love the breakfast  they're serving taho which is not common to some hotels!,24-May-17,,pos,booking
the bathroom  especially the shower area. I'm not used to taking a shower inside a bath tub. moreso  it compromises your balance when you stand up inside a bathtub. it would be nice if they could change it to a more conventional shower enclosure. thanks and God bless!,24-May-17,81,neg,booking
Lovely location and views. This is an old property that has charm but needs attention.,24-May-17,81,pos,booking
Their dinner buffet was a bit pricey...even pricier than buffet101 considering the number of choices were limited...,22-May-17,88,neg,booking
Suitability of overall Hotel design and ambience.,22-May-17,88,pos,booking
The bathroom was disappointing  rooms need refurbishment and general service system overhaul. The food at breakfast was limited and again in a country full of fresh fruit I can not understand why the juices are not fresh.,21-May-17,75,neg,booking
Out room with perfect view seeing Taal Volacano  my parents was very happy,21-May-17,75,pos,booking
Breakfast and chef in the omelette station. She is not very customer service oriented.,21-May-17,71,neg,booking
The views were excellent  the gardens were good for light walking - restaurants offered a good choice of food,21-May-17,71,pos,booking
A liitile issue about the malfunctioning of its door lock,15-May-17,75,neg,booking
some confusion at check out - three charges incorrectly shown on invoice - Mini-bar not fully stocked on arrival -- all satisfactorily reversed after discussion with reception staff.  Also renovation work in nearby room was disturbing for short periods of time.,15-May-17,71,neg,booking
location of the pool.,15-May-17,,neg,booking
location really.,15-May-17,,pos,booking
The sunny side up eggs were not done to perfection.,14-May-17,,neg,booking
Good view of the Taal Volcano.  Proximity to entertainment and restaurants.,14-May-17,,pos,booking
Ham and bacon test so bad very pork menu here is strange test.,14-May-17,,neg,booking
The view from very nice. Bed is very good.,14-May-17,,pos,booking
The food served in dinner was costly compared to what we ate outside at balay dako,12-May-17,,neg,booking
The complimentary breakfast is delicious and has variety of choices from english to flipino delicacies,12-May-17,,pos,booking
NONE,8-May-17,81,neg,booking
The kids love the place because it has kid's club and a pool..,8-May-17,81,pos,booking
We booked for a king bed plus a single extra bed for our family stay and were asked to pay for breakfast for our child who just turned 8.  However  it is mentioned in our reservation that breakfast is free.,5-May-17,79,neg,booking
I LIKE THE AMBIANCE OF THE HOTEL,5-May-17,79,pos,booking
The doors were difficult to open even after electronic lock is open Towels were old  stiff,2-May-17,75,neg,booking
Location is great and property is well maintained. Taza restaurant offers fresh and delicious choices.,2-May-17,75,pos,booking
Pool should have a better view.,2-May-17,83,neg,booking
Food was excellent!,2-May-17,83,pos,booking
We didn't like the view from our window at the Lake Wing  the name itself is a misrepresentation.   All we saw from our window was the Skyranch's vast storage area/dumping ground  a messy lake of monoblock chairs.,2-May-17,92,neg,booking
The breakfast buffet was lovely  and the spa was amazing!,2-May-17,92,pos,booking
Aside from the view of Taal  we have always liked the breakfast buffet at Cafe Veranda including its new ambiance.  We also noticed that a bidet had been installed in the bathroom and the bathroom itself has more privacy now than during our last stay in 2015.,2-May-17,83,pos,booking
The price of the breakfast menu...too pricey The kids club should have more activities for the kids,30 April 2017,,neg,booking
The spacious room and the breakfast buffet,30 April 2017,,pos,booking
When we check in there are no towels inside the bathroom   before we checkout somebody came ti check the refrigerator but is was empty when we entered the room.,27 April 2017,,neg,booking
The view of the lake frim the hotelwas great,27 April 2017,,pos,booking
Hotel could have informed us  that there was a ongoing food convention at our (lakeview) wing. The music started at 6am in the morning and the loud bass literally 'shaked' me out of bed. We would have safed ourselves the overpriced 'upgrade' to the room w/ lakeview (which we thought  we already had booked through booking.com). Which brings me to the next point: room description should include: view to courtyard/view to lake.  One last thing: the lakeview wing is right next to the sky ranch amusement park. It is loud and you can hear people screaming from the rollercoaster. If you are looking for something more quite  ask for the mountain view wing. (No view of the beautiful lake thou) Would still recommend the hotel for families w/ kids and honeymooners. Not so much for travelers on a budget/group of friends wo like adventure (as the is nothing really to do except the volcano hike.),26 April 2017,,neg,booking
The view was amazing. The staff very friendly. And the included breakfast offered choices for every taste button.,26 April 2017,,pos,booking
no daily news paper  no city maps available,26 April 2017,,neg,booking
accessible to major land mark..,26 April 2017,,pos,booking
The tiles in the shower area could be cleaner,25 April 2017,81,neg,booking
Breakfast was really superb,25 April 2017,81,pos,booking
The door lock frequently malfunctions making it difficult to open,22 April 2017,79,neg,booking
The feeling of having plenty of space,22 April 2017,79,pos,booking
None,21 April 2017,79,neg,booking
The surrounding,21 April 2017,79,pos,booking
Poor service  it took three calls to have someone come to fix the internet  then it was still slow.,20 April 2017,67,neg,booking
Nice view.,20 April 2017,67,pos,booking
Wifi was diffiucult to access  Espresso bullets were used already  Very dim lights st the receiving area of our room,18 April 2017,96,neg,booking
Our view...,18 April 2017,96,pos,booking
The room is not clean. Even the toilet is dirty and clean well. I think the cleaner not doing their job properly. All is excellent except for the cleanliness of the room. I was so disappointed for the cleanliness.,18 April 2017,88,neg,booking
Great view and well spend money,18 April 2017,88,pos,booking
It wasn't about the property. It is about the cost of pizza we ordered. It was only Php400 in the menu but when we checked out it was about Php500. We found out there was service charge.,17 April 2017,,neg,booking
We can plug our external hard drive to the TV and watch series/new movies,17 April 2017,,pos,booking
Quite expensive eg breakfast buffet for 950  should be a bit lesser.,17 April 2017,,neg,booking
The ambiance is really great  despite its old i highly respect the restoration.,17 April 2017,,pos,booking
You can hear sounds from your neighbours because the wall doesn't insulate well.,17 April 2017,,neg,booking
Gorgeous view towards the Taal Lake.,17 April 2017,,pos,booking
The bathroom is not really clean. Bottled water should automatically be replenished on the 2nd day.Also  we didn't know that they have entrance to the sky ranch  we were not able to use the entrance. Entrance fee should be free  it should be a privilege,17 April 2017,,neg,booking
The view deck and access to sky ranch. Breakfast is very good  there's ample choices of food.,17 April 2017,,pos,booking
Pool heater should be provided,16 April 2017,81,neg,booking
The scenery was fantastic  the room was so clean and the staff were courteous.,16 April 2017,81,pos,booking
The breakfast was ordinary.,15 April 2017,75,neg,booking
I just love this hotel  the room is big enough  quiet & the staff our courteous plus the food was great  especially the croissant and the free fresh fruits in the lobby & inside the room...;-),15 April 2017,75,pos,booking
well since it's summertime  they could have extended the swimming hours until about 7pm since the sun goes down pretty late so the kids can enjoy more swimming time...,15 April 2017,96,neg,booking
Food is great. Peacefully relaxing place to be.,15 April 2017,96,pos,booking
Just a little upgrade on the bathroom at the mountain side building.,15 April 2017,83,neg,booking
Best view and location. Excellent!,15 April 2017,83,pos,booking
All the staff were great and super nice. Our stay was very relaxing. Location is good since it's near everything. Will definitely be back.,10 April 2017,71,pos,booking
Our room view wasn't really good. But everything else was ok.,28-Mar-17,,neg,booking
Food is good. Room was better especially that it has a bathtub than the room I had before.,28-Mar-17,,pos,booking
Expected the room to have a view of the lake but apparently  the name Lake Wing was misleading.  I had to upgrade to a room that actually had a view of the lake!,27-Mar-17,,neg,booking
Best view of Taal.,27-Mar-17,,pos,booking
Few choices for breakfast.,20-Mar-17,,neg,booking
The view though we didn't get the lake view of the room but still my kids enjoyed staying there.,20-Mar-17,,pos,booking
food specially the the ala carte can still be improved.,16-Mar-17,,neg,booking
staff always smiling and very helpful  friendly  courteous and professional,16-Mar-17,,pos,booking
The bathroom has hair strands and plsntake note of this ALL THE STAFF ARE NICE EXCEPT THE STAFF AT THE FRONT DESK THEY ARE NOT FRIENDLY IVE TALK TO THIS OTHER GUEST AND THEY TOLD ME THE SAME,15-Mar-17,81,neg,booking
Breakfast is superb,15-Mar-17,81,pos,booking
Service extremely poor.  We have waited for our meals about 2 hrs and end up frustrated and left the restaurant.  Worst Valentine Day's dinner ever.,13-Mar-17,88,neg,booking
The hotel is quite dated but still a very good one for this area.,13-Mar-17,88,pos,booking
Renovation/construction should as much as possible be done when adjoining rooms are vacant.,12-Mar-17,79,neg,booking
